titulo,localizacion,precio,ascensor,baños,trastero,piso,habitaciones,metros_reales,armarios_empotrados,terraza,garaje,calefaccion,aire_acondicionado,piscina,zonas_verdes
Alquiler de Casa o chalet independiente en plaza Puntal de Vacares,"Bola de Oro, Granada",690,0.0,1,0,Muchas_plantas,2,40,0,0,0,0,1,0,0
Alquiler de Estudio en calle Ribera del Beiro,"San Francisco Javier, Granada",525,0.0,1,0,Bajo,1,35,0,0,0,1,0,0,0
"Alquiler de Ático en Arabial, 16","Figares, Granada",1000,1.0,1,0,Primeros_pisos,1,1,1,1,0,0,1,0,0
Alquiler de Piso en Ctra Sierra - Acceso Nuevo Alhambra,Granada,800,0.0,1,0,Primeros_pisos,2,70,1,0,0,1,0,0,0
Alquiler de Estudio en avenida Avenue Avenue Doctor Oloriz,"Plaza de Toros, Granada",525,0.0,1,0,Bajo,1,32,0,0,0,1,0,0,0
Alquiler de Piso en paseo del Emperador Carlos V,"Zaidín, Granada",800,1.0,2,0,Bajo,3,90,1,0,0,1,1,0,0
"Alquiler de Ático en calle Bacaque, 2","Carretera de Granada-La Alcazaba, Alhendin",730,1.0,2,1,Ultimos_pisos,3,93,0,0,1,1,1,1,1
Alquiler de Piso en calle Cerro de los Machos,"Bola de Oro, Granada",700,1.0,2,0,Bajo,2,89,1,0,1,1,0,1,0
"Alquiler de Piso en avenida de Cervantes, 10","Cervantes-Palacio de Deportes, Granada",900,1.0,1,0,Primeros_pisos,3,1,0,1,0,1,0,0,0
"Alquiler de Piso en calle Granja, 38",La Zubia,580,1.0,1,0,Bajo,2,62,0,0,1,0,0,0,0
Alquiler de Piso en calle Montereros,"Catedral, Granada",1100,1.0,2,0,Primeros_pisos,2,80,1,0,0,1,1,0,0
Alquiler de Piso en calle Sol,"Ronda - Arabial, Granada",1200,1.0,2,0,Ultimos_pisos,3,90,0,1,0,1,0,0,0
Alquiler de Piso en calle Sócrates,"Ronda - Arabial, Granada",1090,1.0,1,0,Primeros_pisos,3,85,0,0,0,0,1,0,0
Alquiler de Ático en calle periodista rafael gago palomo s/n,"Barrio de los Periodistas, Granada",900,1.0,2,0,Ultimos_pisos,3,1,1,1,1,1,1,1,0
"Alquiler de Piso en calle Obispo Hurtado, 15","Recogidas, Granada",750,1.0,2,0,Primeros_pisos,2,95,1,0,0,1,0,0,0
"Alquiler de Piso en camino de los Ogijares, 6",La Zubia,650,1.0,2,0,Primeros_pisos,2,90,0,0,0,1,1,0,0
"Alquiler de Piso en camino de Ronda, 180","Ronda - Arabial, Granada",950,1.0,1,0,Primeros_pisos,4,1,1,1,0,1,0,0,0
Alquiler de Piso en C/montalban,"Jardín Botánico, Granada",1200,1.0,2,0,Primeros_pisos,4,1,0,1,0,1,0,0,0
Alquiler de Ático en zafra s/n,"Albaicín, Granada",650,0.0,1,0,Primeros_pisos,1,50,0,0,0,0,0,0,0
Alquiler de Piso en calle Maestro Noguerol,Monachil,585,1.0,1,0,Primeros_pisos,1,55,1,0,0,0,1,0,0
"Alquiler de Piso en calle Aguado, 11","San Matías - Pavaneras, Granada",900,0.0,1,0,Muchas_plantas,2,67,0,0,0,0,0,0,0
"Alquiler de Piso en plaza de Cuchilleros, 1","Molinos - Santiago, Granada",700,0.0,1,0,Ultimos_pisos,2,70,1,0,0,1,0,0,0
Alquiler de Piso en camino de los Ogijares,La Zubia,650,1.0,2,0,Primeros_pisos,2,74,0,0,0,0,0,0,0
Alquiler de Piso en calle Ángel,"Recogidas, Granada",675,0.0,1,0,Primeros_pisos,1,60,1,1,0,1,0,0,0
Alquiler de Piso en Santiago Lozano,"Campo Verde, Granada",700,1.0,1,0,Ultimos_pisos,3,1,0,1,0,1,0,0,0
Alquiler de Piso en calle Palencia,"Zaidín, Granada",795,1.0,2,0,Ultimos_pisos,3,89,0,1,0,1,0,0,0
Alquiler de Piso en calle Sirena s/n,"La Chana, Granada",1200,1.0,2,1,Primeros_pisos,4,1,1,1,0,1,1,0,0
Alquiler de Piso en calle Carreterías,Maracena,800,0.0,1,0,Primeros_pisos,3,86,0,0,0,0,0,0,0
"Alquiler de Piso en Severo Ochoa, 11","Gran Capitán, Granada",1200,1.0,2,0,Primeros_pisos,4,1,1,0,0,1,1,0,0
"Alquiler de Chalet pareado en calle Río Monachil, Ogíjares, 9",Ogijares,1300,0.0,3,1,Muchas_plantas,3,2,0,1,1,1,1,1,0
Alquiler de Ático en calle Poniente,"Zona Poniente, Armilla",900,1.0,1,1,Primeros_pisos,2,75,0,1,1,1,1,0,0
Alquiler de Piso en camino de Ronda,"Los Pajaritos, Granada",595,1.0,1,0,Primeros_pisos,1,59,0,0,1,0,1,0,0
"Alquiler de Chalet adosado en calle Avellano, 24",Cajar,990,0.0,3,1,Muchas_plantas,4,2,1,1,1,1,1,0,0
Alquiler de Piso en Rosaleda - Juventud,"Ronda - Arabial, Granada",900,1.0,2,1,Primeros_pisos,2,75,1,1,1,1,1,1,0
Alquiler de Piso en calle Henríquez de Jorquera,"Polígono Cartuja, Granada",800,1.0,1,0,Ultimos_pisos,3,90,1,1,0,0,0,0,0
Alquiler de Piso en Santa Fe,"Área de Granada, Granada",650,0.0,1,0,Primeros_pisos,3,88,0,0,0,0,0,0,0
"Alquiler de Piso en plaza de las Descalzas, 1","San Matías - Pavaneras, Granada",1100,1.0,1,0,Ultimos_pisos,2,80,1,0,1,1,1,0,0
Alquiler de Piso en calle Solarillo de Gracia,"Recogidas, Granada",1200,1.0,2,0,Primeros_pisos,3,1,1,0,0,1,1,0,0
Alquiler de Piso en pasaje Algaba,"Casería de Montijo, Granada",1480,0.0,2,0,Primeros_pisos,5,1,1,1,0,1,1,0,1
Alquiler de Piso en paseo de las Palmas,"Ctra Sierra - Acceso Nuevo Alhambra, Granada",700,1.0,1,0,Primeros_pisos,1,58,1,1,1,1,1,1,0
"Alquiler de Piso en calle Palencia, 10","Zaidín, Granada",1050,0.0,1,0,Primeros_pisos,3,76,0,0,0,1,0,0,0
Alquiler de Piso en calle Real de Cartuja,"San Ildefonso, Granada",990,0.0,1,0,Primeros_pisos,3,80,1,0,0,1,1,0,0
Alquiler de Piso en ronda de Alfareros,"Casería de Montijo, Granada",1200,0.0,2,1,Primeros_pisos,4,1,1,0,0,1,1,0,1
Alquiler de Piso en calle Cañaveral,"Ronda - Arabial, Granada",1400,1.0,1,0,Ultimos_pisos,4,1,0,0,0,1,0,0,0
Alquiler de Piso en calle San Rafael,Huétor-Vega,690,0.0,1,0,Bajo,3,86,0,1,0,0,1,0,0
"Alquiler de Piso en avenida de las Fuerzas Armadas, 1","Los Pajaritos, Granada",850,1.0,2,0,Primeros_pisos,3,65,1,0,0,1,1,0,0
Alquiler de Piso en calle Doctor Marañón,"Plaza de Toros, Granada",740,1.0,1,0,Primeros_pisos,2,75,0,1,0,1,1,0,0
Alquiler de Caserón en calle San Andrés,"Gran Vía, Granada",890,0.0,2,0,Muchas_plantas,4,1,1,0,0,0,0,0,0
"Alquiler de Chalet adosado en calle San Juan de los Reyes, 91","Albaicín, Granada",1400,0.0,2,0,Muchas_plantas,3,1,0,1,1,0,0,0,0
"Alquiler de Chalet adosado en calle Lagartijillo, 16","La Cruz, Granada",950,0.0,1,0,Muchas_plantas,3,1,1,1,0,1,0,0,0
Alquiler de Piso en calle Ventanilla,"Gran Capitán, Granada",545,0.0,1,0,Primeros_pisos,2,50,0,1,0,1,0,0,0
"Alquiler de Piso en calle Pedro Antonio de Alarcón, 77","Ronda - Arabial, Granada",850,1.0,1,0,Ultimos_pisos,3,1,1,0,0,1,1,0,0
"Alquiler de Chalet adosado en calle Santa Herminia, 8","San Francisco Javier, Granada",1350,0.0,2,0,Muchas_plantas,4,85,0,1,0,1,1,0,0
Alquiler de Piso en calle Estepona,"Carrera de la Virgen - Paseo del Salón, Granada",690,0.0,1,0,Primeros_pisos,1,60,0,0,0,1,0,0,0
Alquiler de Piso en calle Recogidas,"Figares, Granada",1200,1.0,2,1,Ultimos_pisos,3,1,1,0,0,1,1,0,0
Alquiler de Piso en calle Doctor Marañón,"Plaza de Toros, Granada",900,1.0,1,0,Ultimos_pisos,3,80,0,0,0,1,0,0,0
Alquiler de Ático en calle Santa Teresa,"Recogidas, Granada",1600,0.0,2,0,Primeros_pisos,5,1,0,1,0,1,0,0,0
Alquiler de Piso en calle Cañaveral,"Ronda - Arabial, Granada",1400,1.0,1,0,Ultimos_pisos,4,1,0,1,0,1,0,0,0
Alquiler de Dúplex en San Francisco,Cajar,500,1.0,1,0,Bajo,1,80,0,0,1,1,1,0,0
Alquiler de Piso en calle Gloria,"Albaicín, Granada",500,0.0,1,0,Bajo,1,35,0,0,0,0,0,0,0
Alquiler de Piso en camino de Ronda,"Ronda - Arabial, Granada",1050,1.0,2,0,Bajo,3,1,0,0,0,1,1,0,0
Alquiler de Piso en calle Poeta Manuel de Góngora,"Cervantes-Palacio de Deportes, Granada",1000,1.0,2,0,Ultimos_pisos,4,1,1,1,0,1,1,0,0
Alquiler de Piso en calle Matilde Cantos,"Parque Nueva Granada, Granada",750,1.0,2,0,Primeros_pisos,3,90,0,0,0,1,0,1,0
Alquiler de Piso en calle Doctor Marañón,"Plaza de Toros, Granada",900,1.0,1,0,Ultimos_pisos,3,80,0,0,0,1,0,0,0
Alquiler de Piso en camino de Ronda,"Ronda - Arabial, Granada",1050,1.0,2,0,Bajo,3,1,0,0,0,1,1,0,0
Alquiler de Piso en calle Jardines,"Recogidas, Granada",800,0.0,1,0,Primeros_pisos,2,65,1,0,0,1,1,0,0
Alquiler de Piso en plaza de San Lázaro,"Plaza de Toros, Granada",1100,1.0,2,0,Primeros_pisos,2,1,0,1,1,1,0,0,0
Alquiler de Dúplex en San Francisco,Cajar,500,1.0,1,0,Bajo,1,80,0,0,1,1,1,0,0
Alquiler de Piso en calle Cañaveral,"Ronda - Arabial, Granada",1400,1.0,1,0,Ultimos_pisos,4,1,0,1,0,1,0,0,0
"Alquiler de Piso en calle Doctor López Font, 19","Figares, Granada",1100,1.0,2,0,Primeros_pisos,2,1,1,1,1,1,1,1,1
"Alquiler de Piso en calle Valle Gran Rey, 13","Barrio de los Periodistas, Granada",1200,1.0,2,0,Muchas_plantas,3,1,1,1,1,0,0,1,0
Alquiler de Piso en calle Poeta Manuel de Góngora,"Cervantes-Palacio de Deportes, Granada",1000,1.0,2,0,Ultimos_pisos,4,1,1,1,0,1,1,0,0
Alquiler de Piso en calle Cristo de la Yedra,"San Ildefonso, Granada",1180,1.0,2,0,Primeros_pisos,4,1,0,1,0,1,0,0,0
"Alquiler de Piso en calle Periodista José Fernández Martínez, 3","Barrio de los Periodistas, Granada",1000,1.0,2,0,Ultimos_pisos,3,1,1,1,1,1,1,1,1
Alquiler de Ático en Ronda - Arabial,"Ronda - Arabial, Granada",1600,1.0,2,0,Ultimos_pisos,3,1,1,1,0,1,1,0,0
Alquiler de Piso en Zona Poniente,Armilla,1200,1.0,2,0,Primeros_pisos,3,1,1,1,1,1,1,1,0
Alquiler de Piso en calle Sol,"Ronda - Arabial, Granada",1200,1.0,2,0,Ultimos_pisos,3,1,0,0,0,1,0,0,0
Alquiler de Chalet pareado en calle Pernaleros Bajo,"San Ildefonso, Granada",1150,0.0,2,0,Muchas_plantas,3,1,0,0,0,1,1,0,0
"Alquiler de Piso en avenida de la Ilustración, 89","Campus de la Salud, Granada",900,1.0,2,0,Primeros_pisos,2,1,1,1,1,1,0,1,1
Alquiler de Piso en Figares,Granada,1000,1.0,2,0,Primeros_pisos,3,1,1,0,0,1,1,0,0
Alquiler de Piso en San Francisco Javier,Granada,1300,1.0,2,0,Ultimos_pisos,3,1,0,0,0,1,0,0,0
Alquiler de Piso en calle Goya,"Gran Capitán, Granada",900,1.0,2,0,Bajo,3,1,0,0,0,1,0,0,0
"Alquiler de Estudio en avenida de la Ilustración, 101","Campus de la Salud, Granada",800,1.0,1,0,Primeros_pisos,1,47,0,1,1,1,1,1,0
"Alquiler de Ático en calle Profesor Agustín Escribano, 1","Figares, Granada",1200,1.0,2,0,Ultimos_pisos,4,1,1,0,1,1,1,0,1
Alquiler de Chalet adosado en San Miguel,Armilla,1200,0.0,3,0,Muchas_plantas,4,2,1,1,1,1,1,0,0
Alquiler de Piso en plaza de San Lázaro,"Plaza de Toros, Granada",1250,1.0,2,1,Primeros_pisos,3,1,1,0,1,1,1,0,0
Alquiler de Piso en Carrera de la Virgen - Paseo del Salón,"Realejo, Granada",900,1.0,2,0,Primeros_pisos,3,82,0,0,0,1,1,0,0
"Alquiler de Chalet pareado en Río Monachil, Ogíjares",Ogijares,1300,0.0,3,1,Muchas_plantas,3,2,0,1,1,1,1,1,0
"Alquiler de Chalet adosado en calle Gonzalo Torrente Ballester, 8","San Miguel, Armilla",1300,0.0,3,1,Muchas_plantas,3,1,1,1,1,1,1,0,0
Alquiler de Casa o chalet independiente en calle San Nicolás,"Zona Parque de San Roque, Churriana de la Vega",720,0.0,1,0,Muchas_plantas,2,90,0,1,0,0,1,0,0
Alquiler de Piso en calle Horno de Haza,"Jardín Botánico, Granada",695,1.0,1,0,Primeros_pisos,1,47,0,0,0,1,1,0,0
Alquiler de Chalet adosado en San Miguel,Armilla,1200,0.0,3,0,Muchas_plantas,4,2,1,1,1,1,1,0,0
Alquiler de Piso en calle Mercurio s/n,Maracena,800,0.0,1,0,Bajo,2,81,1,0,0,1,1,0,0
Alquiler de Piso en Figares,Granada,990,1.0,2,0,Primeros_pisos,3,1,0,1,0,1,0,0,0
"Alquiler de Piso en Reyes Católicos, 20","San Matías - Pavaneras, Granada",995,0.0,1,1,Primeros_pisos,3,90,0,0,0,1,1,0,0
"Alquiler de Piso en calle San Juan de Dios, 17","Gran Capitán, Granada",1100,1.0,2,0,Primeros_pisos,4,1,0,0,0,1,0,0,0
Alquiler de Piso en San Ildefonso,Granada,1950,1.0,3,0,Ultimos_pisos,3,2,0,1,0,1,1,1,1
"Alquiler de Piso en calle Pedro Antonio de Alarcón, 40","Recogidas, Granada",1100,1.0,2,0,Ultimos_pisos,2,1,1,1,0,1,1,0,0
Alquiler de Piso en Bola de Oro,Granada,825,0.0,2,0,Bajo,2,1,0,0,1,1,1,1,1
Alquiler de Piso en calle Gran Vía de Colón,"Gran Vía, Granada",770,1.0,1,0,Muchas_plantas,1,60,0,0,1,1,0,0,0
"Alquiler de Piso en Arabial, 117","Ronda - Arabial, Granada",1100,1.0,2,0,Ultimos_pisos,4,1,0,1,0,1,0,0,0
Alquiler de Piso en calle Almireceros,"Gran Vía, Granada",740,1.0,1,0,Primeros_pisos,1,87,1,1,0,0,1,0,0
Alquiler de Piso en Figares,Granada,1300,1.0,2,0,Ultimos_pisos,4,1,1,0,0,1,0,0,0
"Alquiler de Piso en calle carreterias, 4",Maracena,680,0.0,1,0,Primeros_pisos,3,86,0,1,0,0,0,0,0
Alquiler de Piso en calle la Cortijuela,"Ctra Sierra - Acceso Nuevo Alhambra, Granada",1100,1.0,2,0,Ultimos_pisos,3,1,1,0,1,1,0,0,0
Alquiler de Chalet pareado en calle San Leonardo s/n,La Zubia,1100,0.0,2,1,Muchas_plantas,3,1,1,1,1,0,1,0,0
"Alquiler de Piso en calle Rosa Chacel, 4","Parque Nueva Granada, Granada",504,1.0,1,1,Primeros_pisos,1,50,1,0,1,0,0,1,1
Alquiler de Piso en camino de Ronda,"Ronda - Arabial, Granada",840,1.0,1,0,Ultimos_pisos,3,1,0,1,0,1,0,0,0
Alquiler de Piso en calle Alejandro Dumas,"Polígono Cartuja, Granada",720,1.0,1,0,Ultimos_pisos,3,95,0,1,0,1,0,0,1
"Alquiler de Piso en calle Honda del Realejo, 30","Molinos - Santiago, Granada",1200,0.0,2,0,Bajo,3,1,1,1,0,1,0,0,0
Alquiler de Piso en Urbanizacion Carmenes de la Alberzana,"Albaicín, Granada",560,0.0,1,0,Bajo,1,31,0,0,0,0,0,0,0
Alquiler de Piso en calle Sol,"Gran Capitán, Granada",1100,1.0,2,0,Ultimos_pisos,3,95,1,1,0,0,0,0,0
Alquiler de Ático en calle Nueva,"Zona Ayuntamiento, Alhendin",700,1.0,2,0,Primeros_pisos,3,1,0,1,0,1,1,0,0
Alquiler de Piso en Babolé,"Albaicín, Granada",800,0.0,1,0,Primeros_pisos,2,75,1,1,0,1,0,0,0
"Alquiler de Piso en calle la Palmita, 14","Barrio de los Periodistas, Granada",750,1.0,2,1,Ultimos_pisos,3,1,0,0,1,1,0,0,0
Alquiler de Piso en calle Recogidas,"Recogidas, Granada",950,1.0,2,0,Primeros_pisos,3,1,1,1,1,1,0,0,0
Alquiler de Piso en calle Tortola,"Los Pajaritos, Granada",700,1.0,1,0,Primeros_pisos,1,50,0,0,1,0,1,0,0
Alquiler de Piso en San Juan de los Reyes,"Albaicín, Granada",600,0.0,1,0,Primeros_pisos,1,55,0,0,0,0,0,0,0
"Alquiler de Chalet adosado en calle Río Monachil, Ogíjares, 9",Ogijares,1300,0.0,3,1,Muchas_plantas,3,2,1,1,1,1,1,1,0
Alquiler de Piso en Zaidín,Granada,550,0.0,1,0,Ultimos_pisos,3,90,0,1,0,0,0,0,0
"Alquiler de Piso en calle Navas, 28","San Matías - Pavaneras, Granada",1100,1.0,1,0,Primeros_pisos,2,75,0,0,0,1,1,0,0
"Alquiler de Piso en carretera de Málaga, 115","La Chana, Granada",1000,1.0,2,0,Primeros_pisos,4,1,1,1,0,1,0,0,0
Alquiler de Piso en calle Tortola,"Los Pajaritos, Granada",700,1.0,1,0,Primeros_pisos,1,50,0,0,1,0,1,0,0
"Alquiler de Piso en calle Tórtola, 37","Los Pajaritos, Granada",1200,1.0,2,0,Primeros_pisos,4,96,0,0,0,0,0,0,0
"Alquiler de Piso en calle Limón, 3","Albaicín, Granada",650,0.0,1,0,Primeros_pisos,1,50,0,0,0,1,0,0,0
"Alquiler de Piso en calle Henríquez de Jorquera, 10","Polígono Cartuja, Granada",850,1.0,2,0,Primeros_pisos,4,1,0,1,0,1,0,0,0
Alquiler de Piso en avenida de Madrid,"Plaza de Toros, Granada",1000,1.0,1,0,Primeros_pisos,4,81,1,0,0,0,0,0,0
Alquiler de Piso en calle Verónica de la Virgen s/n,"Figares, Granada",950,1.0,1,0,Primeros_pisos,2,60,1,0,0,0,1,0,0
Alquiler de Piso en calle Recogidas,"Recogidas, Granada",950,1.0,2,0,Primeros_pisos,3,1,1,1,1,1,0,0,0
"Alquiler de Piso en calle Ribera del Beiro, 43","San Francisco Javier, Granada",1200,1.0,2,0,Primeros_pisos,4,1,1,1,0,0,1,1,1
"Alquiler de Piso en calle Recogidas, 9","Figares, Granada",1100,1.0,1,0,Primeros_pisos,3,93,0,0,0,1,1,0,0
Alquiler de Piso en calle Jardines,"Recogidas, Granada",650,0.0,1,0,Primeros_pisos,1,45,1,0,0,1,1,0,0
"Alquiler de Piso en plaza Poeta Garcilaso de la Vega, 10","Joaquina Eguaras, Granada",800,1.0,1,0,Ultimos_pisos,3,95,1,1,0,1,1,0,0
"Alquiler de Piso en calle Horno Espadero, 16","Figares, Granada",1200,1.0,2,0,Primeros_pisos,4,1,1,0,0,1,1,0,0
"Alquiler de Piso en calle Don Emilio Durán Durán, 4","Plaza de Toros, Granada",850,1.0,1,0,Primeros_pisos,1,65,0,0,1,1,1,0,0
Alquiler de Piso en avenida Rafael Leyva Loro,Atarfe,650,1.0,1,1,Primeros_pisos,2,70,1,1,1,1,1,1,0
"Alquiler de Piso en puente del Carbón, 1","San Matías - Pavaneras, Granada",890,0.0,1,0,Primeros_pisos,3,90,0,0,0,0,0,0,0
"Alquiler de Piso en juan pablo ii, 2","La Cruz, Granada",1200,1.0,3,0,Ultimos_pisos,4,1,1,1,0,0,0,0,0
Alquiler de Piso en calle Pedro Antonio de Alarcón,"Figares, Granada",1380,1.0,2,0,Ultimos_pisos,4,1,1,1,0,1,0,0,0
Alquiler de Piso en calle Solarillo de Gracia,"Recogidas, Granada",1600,1.0,2,0,Ultimos_pisos,5,2,0,1,0,1,0,0,0
Alquiler de Piso en Ronda - Arabial,"Ronda - Arabial, Granada",1600,1.0,2,0,Ultimos_pisos,4,1,0,0,0,0,1,0,0
"Alquiler de Estudio en Placeta del Hospicio Viejo, s/n, 1","Molinos - Santiago, Granada",700,0.0,1,0,Bajo,1,30,1,0,0,0,0,0,0
Alquiler de Piso en Gran Capitán,"Centro, Granada",700,0.0,1,0,Primeros_pisos,2,75,0,0,0,0,0,0,0
"Alquiler de Chalet adosado en calle Pilar Miró, 20","San Miguel, Armilla",1000,0.0,3,1,Muchas_plantas,3,1,0,0,1,1,0,0,0
Alquiler de Piso en avenida de Madrid,"Plaza de Toros, Granada",1040,1.0,1,0,Primeros_pisos,4,1,0,1,0,1,1,0,0
Alquiler de Piso en avenida Rafael Leyva Loro,Atarfe,750,1.0,2,1,Primeros_pisos,2,70,1,1,1,1,1,1,0
"Alquiler de Ático en carril del Picón, 8","Jardín Botánico, Granada",870,1.0,2,0,Ultimos_pisos,2,80,0,0,0,1,1,0,0
Alquiler de Piso en avenida Divina Pastora,"San Ildefonso, Granada",1850,1.0,3,0,Ultimos_pisos,3,2,1,0,1,1,1,1,1
"Alquiler de Ático en carril del Picón, 8","Jardín Botánico, Granada",870,1.0,2,0,Ultimos_pisos,2,80,0,0,0,1,1,0,0
Alquiler de Piso en avenida de Madrid,"Plaza de Toros, Granada",1040,1.0,1,0,Primeros_pisos,4,1,0,1,0,1,1,0,0
"Alquiler de Piso en avenida blas de otero, 13",Maracena,960,1.0,1,0,Ultimos_pisos,3,90,1,0,0,0,0,0,0
Alquiler de Chalet adosado en calle Miguel Valle - Tendero,Jun,1200,0.0,3,0,Muchas_plantas,4,2,1,1,1,1,1,0,0
Alquiler de Piso en avenida Rafael Leyva Loro,Atarfe,750,1.0,2,1,Primeros_pisos,2,70,1,1,1,1,1,1,0
"Alquiler de Chalet adosado en calle Pilar Miró, 20","San Miguel, Armilla",1000,0.0,3,1,Muchas_plantas,3,1,0,0,1,1,0,0,0
Alquiler de Piso en calle Ramón y Cajal,"Rosaleda - Juventud, Granada",900,1.0,2,0,Primeros_pisos,4,1,1,0,1,1,0,1,0
Alquiler de Piso en Gran Capitán,"Centro, Granada",700,0.0,1,0,Primeros_pisos,2,75,0,0,0,0,0,0,0
Alquiler de Ático en avenida Rafael Leyva Loro,Atarfe,750,1.0,2,1,Primeros_pisos,2,80,1,1,1,1,1,1,0
Alquiler de Piso en calle Ribera del Beiro,"La Cruz, Granada",1200,1.0,2,1,Primeros_pisos,3,1,1,0,1,1,1,0,1
"Alquiler de Piso en puente del Carbón, 1","San Matías - Pavaneras, Granada",890,0.0,1,0,Primeros_pisos,3,90,0,0,0,0,0,0,0
"Alquiler de Piso en Placeta de los Negros, 2","Albaicín, Granada",850,0.0,1,0,Primeros_pisos,1,42,1,0,0,0,0,0,0
"Alquiler de Piso en San Miguel, 7","Zona Poniente, Armilla",1280,1.0,2,1,Bajo,3,90,1,0,1,1,1,1,1
Alquiler de Piso en avenida de Cervantes,"Cervantes-Palacio de Deportes, Granada",800,1.0,1,0,Ultimos_pisos,3,91,1,0,0,1,1,0,0
"Alquiler de Chalet pareado en calle Cadiz, 9",Ogijares,1200,0.0,3,1,Muchas_plantas,3,2,1,1,1,1,0,0,0
Alquiler de Piso en calle Hermigua,"Barrio de los Periodistas, Granada",1000,1.0,2,0,Ultimos_pisos,2,80,1,1,1,1,1,1,1
"Alquiler de Piso en calle Obispo Hurtado, 6","Jardín Botánico, Granada",800,1.0,1,0,Primeros_pisos,3,85,0,1,1,1,0,0,0
Alquiler de Piso en avenida Rafael Leyva Loro,Atarfe,680,1.0,2,1,Primeros_pisos,2,64,1,1,1,1,1,1,0
Alquiler de Piso en calle Solarillo de Gracia,"Recogidas, Granada",1200,1.0,2,0,Ultimos_pisos,3,1,0,0,0,1,0,0,0
"Alquiler de Piso en camino de ronda, 55","Figares, Granada",1500,1.0,2,0,Primeros_pisos,5,1,1,1,0,1,1,0,1
Alquiler de Piso en camino de Ronda,"Ronda - Arabial, Granada",1200,1.0,1,0,Primeros_pisos,4,1,1,0,0,0,0,0,0
Alquiler de Piso en calle Calicasas,"Barrio de los Periodistas, Granada",850,1.0,2,0,Primeros_pisos,2,1,1,0,1,1,1,0,0
Alquiler de Piso en calle Varela,"San Matías - Pavaneras, Granada",690,1.0,1,0,Primeros_pisos,1,56,1,0,0,1,1,0,0
"Alquiler de Piso en calle Doctor Pareja Yébenes, 7","Plaza de Toros, Granada",1400,1.0,2,0,Primeros_pisos,4,1,1,0,0,1,0,0,0
Alquiler de Piso en calle Goya,"Gran Capitán, Granada",900,1.0,2,0,Primeros_pisos,3,1,0,0,0,0,1,0,0
Alquiler de Piso en avenida Rafael Leyva Loro,Atarfe,700,1.0,2,1,Primeros_pisos,2,70,0,0,1,1,1,1,0
"Alquiler de Piso en calle Aconcagua, 16","Bola de Oro, Granada",850,1.0,2,1,Primeros_pisos,2,93,1,1,1,1,1,1,1
Alquiler de Piso en avenida de Madrid,"San Ildefonso, Granada",1040,1.0,1,0,Primeros_pisos,4,1,0,0,0,1,1,0,0
"Alquiler de Piso en calle Aconcagua, 18","Bola de Oro, Granada",1100,1.0,2,1,Primeros_pisos,3,1,1,1,1,1,1,1,1
"Alquiler de Piso en calle Cañaveral, 10","Ronda - Arabial, Granada",1400,1.0,1,0,Ultimos_pisos,4,1,0,1,0,1,0,0,0
"Alquiler de Piso en calle Aconcagua, 16","Bola de Oro, Granada",850,1.0,2,1,Primeros_pisos,2,93,1,1,1,1,1,1,1
Alquiler de Piso en Aljomahima - Ermita,Las Gabias,600,1.0,1,0,Bajo,2,88,0,0,1,1,1,1,0
Alquiler de Piso en Casería de Montijo,"Norte, Granada",1480,1.0,2,1,Ultimos_pisos,5,1,0,0,1,0,1,0,0
Alquiler de Piso en calle San Jerónimo,"Catedral, Granada",850,1.0,2,0,Primeros_pisos,3,1,0,0,0,0,1,0,0
Alquiler de Piso en San Miguel,Armilla,1150,1.0,2,1,Primeros_pisos,3,85,1,1,1,1,0,1,0
"Alquiler de Piso en calle Sol, 22","Ronda - Arabial, Granada",975,1.0,1,0,Ultimos_pisos,3,91,1,1,0,1,1,0,0
Alquiler de Ático en calle San Pablo s/n,"San Francisco Javier, Granada",680,1.0,1,0,Ultimos_pisos,1,60,0,0,0,1,1,0,0
"Alquiler de Piso en camino de Ronda, 134","Ronda - Arabial, Granada",860,1.0,1,0,Ultimos_pisos,3,1,1,0,0,1,0,0,0
Alquiler de Piso en avenida Divina Pastora,"San Ildefonso, Granada",800,1.0,1,0,Ultimos_pisos,2,75,1,1,1,1,0,1,1
Alquiler de Piso en calle Doctor García y García de Castro,"La Chana, Granada",820,0.0,1,0,Primeros_pisos,3,70,0,0,0,1,1,0,0
Alquiler de Casa o chalet independiente en Albaicín,Granada,1550,0.0,2,0,Muchas_plantas,4,2,0,1,1,1,1,1,0
Alquiler de Piso en calle Santa Águeda,"San Francisco Javier, Granada",1100,0.0,1,0,Primeros_pisos,3,1,0,1,0,1,1,0,0
Alquiler de Piso en plaza Parrilla,"Casco Historico, Churriana de la Vega",850,0.0,1,0,Primeros_pisos,2,84,0,0,0,0,0,0,0
Alquiler de Piso en Figares,Granada,800,1.0,2,0,Ultimos_pisos,3,1,0,0,0,1,1,0,0
Alquiler de Ático en puente de la Virgen s/n,"Carrera de la Virgen - Paseo del Salón, Granada",780,1.0,1,0,Ultimos_pisos,1,50,1,0,0,0,1,0,0
Alquiler de Piso en Junto Mesones,"Catedral, Granada",800,1.0,1,0,Primeros_pisos,2,70,1,0,0,1,1,0,0
Alquiler de Piso en plaza de San Lázaro,"Plaza de Toros, Granada",1250,1.0,2,1,Primeros_pisos,3,1,1,0,1,1,1,0,0
